latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.049,-120.622,301.8,1.3,1.1,2017-02-22,2130,Aqua,MODIS,0,6.0NRT,290.1,4.3,D
34.539,-119.451,393.6,4.1,1.9,2017-12-10,2020,Aqua,MODIS,75,6.0NRT,280.8,1654.3,D
34.549,-119.414,385.6,4.1,1.9,2017-12-10,2020,Aqua,MODIS,100,6.0NRT,273.8,1329.4,D
34.522,-119.449,455.9,4.1,1.9,2017-12-10,2020,Aqua,MODIS,75,6.0NRT,309.7,6067,D
34.532,-119.412,441.5,4.1,1.9,2017-12-10,2020,Aqua,MODIS,100,6.0NRT,296.8,4621.7,D
34.505,-119.445,397.4,4.1,1.9,2017-12-10,2020,Aqua,MODIS,100,6.0NRT,284.8,0,D
34.515,-119.409,432.8,4.1,1.9,2017-12-10,2020,Aqua,MODIS,75,6.0NRT,290.2,3911.6,D
34.526,-119.366,339.6,4.1,1.9,2017-12-10,2020,Aqua,MODIS,51,6.0NRT,271,302.8,D
34.538,-119.317,362.5,4,1.9,2017-12-10,2020,Aqua,MODIS,0,6.0NRT,269.2,683.7,D
34.535,-119.444,437.8,4.1,1.9,2017-12-10,2020,Aqua,MODIS,87,6.0NRT,297.4,4322.2,D
34.544,-119.407,404.2,4.1,1.9,2017-12-10,2020,Aqua,MODIS,100,6.0NRT,280.1,2076.6,D
34.518,-119.441,452.8,4.1,1.9,2017-12-10,2020,Aqua,MODIS,100,6.0NRT,306.2,0,D
34.527,-119.406,427.1,4.1,1.9,2017-12-10,2020,Aqua,MODIS,94,6.0NRT,289.9,3463.4,D
34.51,-119.402,400.3,4.1,1.9,2017-12-10,2020,Aqua,MODIS,100,6.0NRT,279.5,0,D
34.543,-120.004,335.1,1,1,2017-07-11,2110,Aqua,MODIS,79,6.0NRT,303.7,25.3,D
34.544,-119.994,347.1,1,1,2017-07-11,2110,Aqua,MODIS,91,6.0NRT,305.8,43.9,D
34.546,-119.983,352.2,1,1,2017-07-11,2110,Aqua,MODIS,95,6.0NRT,307.3,53.4,D
34.532,-120.013,325.9,1,1,2017-07-11,2110,Aqua,MODIS,51,6.0NRT,301.4,13.4,D
34.534,-120.002,326.8,1,1,2017-07-11,2110,Aqua,MODIS,60,6.0NRT,305,14.7,D
34.535,-119.992,364.3,1,1,2017-07-11,2110,Aqua,MODIS,100,6.0NRT,309.6,86.5,D
34.537,-119.981,373.9,1,1,2017-07-11,2110,Aqua,MODIS,100,6.0NRT,309.5,116.7,D
34.532,-119.891,405.2,1,1,2017-07-11,2110,Aqua,MODIS,100,6.0NRT,316.3,268.5,D
34.533,-119.881,371.9,1,1,2017-07-11,2110,Aqua,MODIS,100,6.0NRT,302.5,105.8,D
34.521,-119.893,371.1,1,1,2017-07-11,2110,Aqua,MODIS,100,6.0NRT,310.6,102.6,D
34.522,-119.883,378.4,1,1,2017-07-11,2110,Aqua,MODIS,100,6.0NRT,305.8,132.4,D
34.512,-119.892,376.5,1,1,2017-07-11,2110,Aqua,MODIS,100,6.0NRT,310,124.8,D
34.52,-119.932,302.4,1.2,1.1,2017-07-11,1005,Aqua,MODIS,49,6.0NRT,291.1,6.5,N
34.523,-119.945,302,1.2,1.1,2017-07-11,1005,Aqua,MODIS,46,6.0NRT,291.2,6,N
34.542,-120.008,308.8,1.2,1.1,2017-07-11,0550,Terra,MODIS,76,6.0NRT,291.4,10.9,N
34.544,-119.995,305,1.2,1.1,2017-07-11,0550,Terra,MODIS,62,6.0NRT,291.7,7.9,N
34.513,-119.56,339.4,1,1,2017-12-10,1845,Terra,MODIS,73,6.0NRT,274.3,40.7,D
34.441,-118.976,337.6,1,1,2017-12-10,1845,Terra,MODIS,91,6.0NRT,272.6,39.5,D
34.502,-119.414,328.1,1,1,2017-12-10,1845,Terra,MODIS,71,6.0NRT,276.5,21.2,D
34.503,-119.425,358.9,1,1,2017-12-10,1845,Terra,MODIS,99,6.0NRT,277.9,77.2,D
34.505,-119.435,353.7,1,1,2017-12-10,1845,Terra,MODIS,97,6.0NRT,275.4,66,D
34.506,-119.446,323,1,1,2017-12-10,1845,Terra,MODIS,58,6.0NRT,272.6,14.9,D
34.508,-119.458,338.5,1,1,2017-12-10,1845,Terra,MODIS,91,6.0NRT,274.7,36,D
34.509,-119.469,348.2,1,1,2017-12-10,1845,Terra,MODIS,87,6.0NRT,278.6,51.9,D
34.511,-119.48,342.3,1,1,2017-12-10,1845,Terra,MODIS,87,6.0NRT,279.3,40.1,D
34.512,-119.491,364.3,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,279.5,91.6,D
34.514,-119.503,372.4,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,279.7,117.6,D
34.515,-119.514,359.9,1,1,2017-12-10,1845,Terra,MODIS,99,6.0NRT,278.8,76.2,D
34.517,-119.525,335.6,1,1,2017-12-10,1845,Terra,MODIS,90,6.0NRT,279.3,24.3,D
34.518,-119.536,347.4,1,1,2017-12-10,1845,Terra,MODIS,95,6.0NRT,285.3,48.7,D
34.52,-119.547,359.9,1,1,2017-12-10,1845,Terra,MODIS,99,6.0NRT,281.4,84.9,D
34.45,-118.975,327.4,1,1,2017-12-10,1845,Terra,MODIS,80,6.0NRT,271.9,26.9,D
34.452,-118.985,321.4,1,1,2017-12-10,1845,Terra,MODIS,69,6.0NRT,268.6,19.7,D
34.453,-118.996,360.3,1,1,2017-12-10,1845,Terra,MODIS,75,6.0NRT,271.4,87.9,D
34.455,-119.007,378,1,1,2017-12-10,1845,Terra,MODIS,75,6.0NRT,274.8,146.5,D
34.456,-119.018,317.7,1,1,2017-12-10,1845,Terra,MODIS,68,6.0NRT,271.3,16.6,D
34.506,-119.38,368.5,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,277.2,108.1,D
34.508,-119.391,366,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,281.1,98,D
34.509,-119.402,395.1,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,294.5,226.6,D
34.511,-119.412,430.8,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,307.9,504.4,D
34.512,-119.423,500,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,322.2,1662.8,D
34.514,-119.434,466.3,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,302.2,972.7,D
34.523,-119.501,384,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,281.1,171.6,D
34.524,-119.512,415.6,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,288.8,368.8,D
34.526,-119.523,339.4,1,1,2017-12-10,1845,Terra,MODIS,12,6.0NRT,277.7,37,D
34.527,-119.534,346.4,1,1,2017-12-10,1845,Terra,MODIS,66,6.0NRT,280.7,51.6,D
34.529,-119.545,360.7,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,279.6,88.8,D
34.465,-119.016,325.2,1,1,2017-12-10,1845,Terra,MODIS,84,6.0NRT,273.7,24.4,D
34.514,-119.367,342.5,1,1,2017-12-10,1845,Terra,MODIS,56,6.0NRT,283.3,40.8,D
34.515,-119.378,384.9,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,290.7,170.1,D
34.517,-119.389,415.9,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,298.9,366.5,D
34.518,-119.4,397,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,287.9,234.4,D
34.52,-119.411,378.8,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,283,143.1,D
34.521,-119.422,379.8,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,282.6,148.6,D
34.523,-119.432,349.3,1,1,2017-12-10,1845,Terra,MODIS,96,6.0NRT,274.8,52.9,D
34.533,-119.509,327.2,1,1,2017-12-10,1845,Terra,MODIS,52,6.0NRT,274.1,23.9,D
34.518,-119.331,348.7,1,1,2017-12-10,1845,Terra,MODIS,48,6.0NRT,283.7,54.1,D
34.523,-119.365,345.3,1,1,2017-12-10,1845,Terra,MODIS,66,6.0NRT,286.5,41.8,D
34.524,-119.376,360.8,1,1,2017-12-10,1845,Terra,MODIS,95,6.0NRT,291.2,82.8,D
34.526,-119.387,421.3,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,302.8,412.6,D
34.527,-119.398,478.5,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,314.3,1192,D
34.529,-119.409,435.1,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,287.2,548.4,D
34.53,-119.42,339.4,1,1,2017-12-10,1845,Terra,MODIS,91,6.0NRT,271.5,34,D
34.532,-119.363,338.4,1,1,2017-12-10,1845,Terra,MODIS,12,6.0NRT,282.7,32.5,D
34.533,-119.374,365.6,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,291.1,98.2,D
34.535,-119.385,408.2,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,305.1,311,D
34.536,-119.396,467.1,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,322.3,990.6,D
34.538,-119.407,414.8,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,286.9,359,D
34.542,-119.371,343.2,1,1,2017-12-10,1845,Terra,MODIS,93,6.0NRT,279.8,47.3,D
34.544,-119.383,341.8,1,1,2017-12-10,1845,Terra,MODIS,93,6.0NRT,279.5,43.1,D
34.545,-119.394,336,1,1,2017-12-10,1845,Terra,MODIS,90,6.0NRT,277.5,34.3,D
34.542,-119.303,325.1,1,1,2017-12-10,1845,Terra,MODIS,39,6.0NRT,270.4,22.1,D
34.55,-119.291,327.6,1,1,2017-12-10,1845,Terra,MODIS,67,6.0NRT,271.3,27.1,D
34.419,-119.483,365.5,1,1,2017-12-10,1845,Terra,MODIS,94,6.0NRT,281.7,95.3,D
34.421,-119.494,380.2,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,280.6,148.7,D
34.422,-119.505,351.7,1,1,2017-12-10,1845,Terra,MODIS,97,6.0NRT,273.8,57,D
34.424,-119.516,335.7,1,1,2017-12-10,1845,Terra,MODIS,72,6.0NRT,272.8,28.5,D
34.43,-119.492,351.5,1,1,2017-12-10,1845,Terra,MODIS,96,6.0NRT,286.9,56.4,D
34.431,-119.503,386.6,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,292.7,178.5,D
34.433,-119.514,410.5,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,297.6,324.9,D
34.434,-119.525,442.7,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,296.5,640.7,D
34.436,-119.536,399.5,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,281.4,252.8,D
34.421,-119.358,304.9,1,1,2017-12-10,1845,Terra,MODIS,0,6.0NRT,268.3,6.9,D
34.431,-119.435,353.6,1,1,2017-12-10,1845,Terra,MODIS,97,6.0NRT,275.1,66.5,D
34.433,-119.446,363.7,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,276.9,92.4,D
34.439,-119.49,343.5,1,1,2017-12-10,1845,Terra,MODIS,88,6.0NRT,286.8,38.4,D
34.44,-119.501,353.2,1,1,2017-12-10,1845,Terra,MODIS,80,6.0NRT,293.2,61.2,D
34.442,-119.512,394.4,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,305.6,220.4,D
34.443,-119.523,462.4,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,317.3,915.7,D
34.445,-119.534,432.1,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,292.5,517.2,D
34.436,-119.4,358.2,1,1,2017-12-10,1845,Terra,MODIS,0,6.0NRT,268.8,83.6,D
34.44,-119.433,327,1,1,2017-12-10,1845,Terra,MODIS,25,6.0NRT,272,20.3,D
34.442,-119.444,395.6,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,281.5,231,D
34.449,-119.499,338.8,1,1,2017-12-10,1845,Terra,MODIS,55,6.0NRT,289.1,30.8,D
34.451,-119.51,359,1,1,2017-12-10,1845,Terra,MODIS,91,6.0NRT,295.6,75.7,D
34.452,-119.521,421.5,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,311.9,414.3,D
34.454,-119.532,452.8,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,309.8,772.2,D
34.455,-119.543,381.6,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,280,156.4,D
34.46,-119.508,334.8,1,1,2017-12-10,1845,Terra,MODIS,70,6.0NRT,288.1,26.3,D
34.461,-119.519,359.7,1,1,2017-12-10,1845,Terra,MODIS,93,6.0NRT,295,77.4,D
34.463,-119.53,383.2,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,299.8,162.7,D
34.464,-119.541,405.8,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,298.8,289.9,D
34.466,-119.552,382.2,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,277.9,161.9,D
34.473,-119.539,380.9,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,296,149.5,D
34.475,-119.55,405.7,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,290.1,293.1,D
34.481,-119.527,360.1,1,1,2017-12-10,1845,Terra,MODIS,0,6.0NRT,293,81.8,D
34.482,-119.538,351.5,1,1,2017-12-10,1845,Terra,MODIS,73,6.0NRT,292.1,53.5,D
34.487,-119.503,347.8,1,1,2017-12-10,1845,Terra,MODIS,57,6.0NRT,280.2,53.8,D
34.488,-119.514,360.7,1,1,2017-12-10,1845,Terra,MODIS,68,6.0NRT,285.4,85.3,D
34.502,-119.546,387.4,1,1,2017-12-10,1845,Terra,MODIS,85,6.0NRT,290.1,189.5,D
34.504,-119.557,385.1,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,281,180.6,D
34.494,-119.427,343.2,1,1,2017-12-10,1845,Terra,MODIS,93,6.0NRT,275.2,44.7,D
34.496,-119.437,354.4,1,1,2017-12-10,1845,Terra,MODIS,98,6.0NRT,276.2,69.2,D
34.497,-119.449,360.8,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,277.1,86.2,D
34.499,-119.46,347.2,1,1,2017-12-10,1845,Terra,MODIS,95,6.0NRT,277.1,52.3,D
34.5,-119.471,341.3,1,1,2017-12-10,1845,Terra,MODIS,66,6.0NRT,279.3,39,D
34.509,-119.538,346.6,1,1,2017-12-10,1845,Terra,MODIS,73,6.0NRT,286.5,49.3,D
34.511,-119.549,366.7,1,1,2017-12-10,1845,Terra,MODIS,100,6.0NRT,289.2,105.1,D
34.419,-119.266,305.2,1,1,2017-01-31,1850,Terra,MODIS,59,6.0NRT,292.5,5.1,D
34.423,-118.93,306.3,1,1,2017-01-31,1850,Terra,MODIS,62,6.0NRT,292.7,5,D
34.394,-119.393,321,2.6,1.6,2017-12-10,0920,Aqua,MODIS,41,6.0NRT,275.6,70.9,N
34.397,-119.423,339.5,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,273.3,170.1,N
34.399,-119.453,334.3,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,270.6,140.8,N
34.401,-119.483,315.9,2.6,1.6,2017-12-10,0920,Aqua,MODIS,22,6.0NRT,270,57.9,N
34.408,-119.391,432.2,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,296.9,2050.6,N
34.41,-119.418,490.8,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,313,5692.5,N
34.413,-119.45,406.4,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,280.5,1194.6,N
34.415,-119.48,338.9,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,270.2,163.7,N
34.418,-119.336,323,2.6,1.5,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,271.6,90.4,N
34.42,-119.364,377.6,2.6,1.5,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,285,578.7,N
34.422,-119.391,385.7,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,300.2,714.6,N
34.424,-119.416,466.4,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,329.3,3851.6,N
34.427,-119.446,439.3,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,293.4,2371.1,N
34.429,-119.476,333.8,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,268.2,130.4,N
34.398,-119.384,320.6,2.6,1.6,2017-12-10,0920,Aqua,MODIS,0,6.0NRT,276.2,52.7,N
34.4,-119.413,359.2,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,277.2,322,N
34.402,-119.444,360.6,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,273.7,346.2,N
34.404,-119.474,332.3,2.6,1.6,2017-12-10,0920,Aqua,MODIS,83,6.0NRT,271.5,114,N
34.412,-119.384,406.4,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,291.1,1177.7,N
34.414,-119.41,502.3,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,327.2,6734,N
34.416,-119.439,469.6,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,299.4,4076.8,N
34.418,-119.47,355,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,272.9,281.7,N
34.424,-119.356,380,2.6,1.5,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,279.9,616.7,N
34.426,-119.383,390.2,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,290.2,799.1,N
34.428,-119.408,438,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,310.9,2292.5,N
34.43,-119.437,470.6,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,304.6,4145,N
34.432,-119.467,349.6,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,270.7,239.1,N
34.438,-119.352,322.5,2.6,1.5,2017-12-10,0920,Aqua,MODIS,40,6.0NRT,270.3,77.5,N
34.44,-119.378,326.5,2.6,1.6,2017-12-10,0920,Aqua,MODIS,59,6.0NRT,269.6,98.7,N
34.442,-119.406,387.8,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,282.7,762,N
34.444,-119.433,445.3,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,294.1,2659.2,N
34.446,-119.463,392.2,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,272.8,852.3,N
34.45,-119.521,314.2,2.7,1.6,2017-12-10,0920,Aqua,MODIS,55,6.0NRT,267.1,46.1,N
34.456,-119.402,329.7,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,268.6,120.9,N
34.458,-119.429,409.9,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,287.8,1293.8,N
34.46,-119.457,396.2,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,275.8,945.4,N
34.462,-119.486,345.2,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,266.6,206.3,N
34.464,-119.514,322.3,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,271.7,71.4,N
34.437,-118.983,304.8,2.5,1.5,2017-12-10,0920,Aqua,MODIS,57,6.0NRT,275.4,31,N
34.473,-119.451,376,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,277.4,563.2,N
34.476,-119.483,446.5,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,293,2755.1,N
34.478,-119.513,368.5,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,276.4,454.1,N
34.451,-118.982,359.5,2.5,1.5,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,283.2,323,N
34.453,-119.005,369.7,2.5,1.5,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,281.9,438.4,N
34.488,-119.453,381.3,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,282.6,645.8,N
34.466,-119.002,315.1,2.5,1.5,2017-12-10,0920,Aqua,MODIS,87,6.0NRT,272.6,57.8,N
34.5,-119.422,320,2.6,1.6,2017-12-10,0920,Aqua,MODIS,88,6.0NRT,266.9,78,N
34.502,-119.448,362.2,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,281.6,378.8,N
34.504,-119.48,443.1,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,306.5,2590.3,N
34.507,-119.512,348.4,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,279.1,238.3,N
34.515,-119.445,319.4,2.6,1.6,2017-12-10,0920,Aqua,MODIS,56,6.0NRT,272.3,74.5,N
34.518,-119.474,370.3,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,281.3,484,N
34.52,-119.507,333.7,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,272.3,138.2,N
34.446,-118.979,340.2,2.5,1.5,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,278.8,167.3,N
34.448,-119.002,359.5,2.5,1.5,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,280.4,322.2,N
34.479,-119.445,352.3,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,272.5,268.8,N
34.482,-119.479,452.1,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,300.7,3054.4,N
34.484,-119.51,386.9,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,280.2,755.4,N
34.459,-118.976,317.9,2.5,1.5,2017-12-10,0920,Aqua,MODIS,96,6.0NRT,275.7,66.7,N
34.461,-118.998,353.8,2.5,1.5,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,278.2,274.3,N
34.463,-119.027,301.4,2.5,1.5,2017-12-10,0920,Aqua,MODIS,40,6.0NRT,273.7,28.3,N
34.494,-119.447,357.4,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,276.8,326.4,N
34.496,-119.479,461.4,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,312.4,3601.3,N
34.498,-119.509,369.5,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,281,469.7,N
34.507,-119.441,334,2.6,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,273.8,145.3,N
34.51,-119.472,428,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,299,1927.8,N
34.512,-119.505,373.9,2.7,1.6,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,281.5,539.6,N
34.523,-119.467,316.1,2.7,1.6,2017-12-10,0920,Aqua,MODIS,33,6.0NRT,275.3,61.7,N
34.512,-119.127,347.7,2.5,1.5,2017-12-10,0920,Aqua,MODIS,100,6.0NRT,276.2,238.1,N
34.514,-119.156,318.2,2.5,1.5,2017-12-10,0920,Aqua,MODIS,96,6.0NRT,269.4,77.4,N
34.539,-119.295,300.8,2.6,1.5,2017-12-10,0920,Aqua,MODIS,23,6.0NRT,271.5,29.8,N
34.534,-119.327,302,2.9,1.6,2017-12-10,0640,Terra,MODIS,14,6.0NRT,277.2,33.9,N
34.536,-119.297,302.7,3,1.6,2017-12-10,0640,Terra,MODIS,39,6.0NRT,271.4,36.2,N
34.494,-119.477,366.5,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,280.7,487.6,N
34.496,-119.45,374.9,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,288.6,623.8,N
34.516,-119.133,307,3,1.7,2017-12-10,0640,Terra,MODIS,70,6.0NRT,272.1,58.9,N
34.48,-119.478,392,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,282.5,961.4,N
34.481,-119.45,407.2,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,293,1390.8,N
34.467,-119.447,331.5,2.9,1.6,2017-12-10,0640,Terra,MODIS,82,6.0NRT,286.3,133,N
34.493,-119.471,390.4,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,284.8,926.8,N
34.495,-119.443,371,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,287.7,553.8,N
34.476,-119.502,311.1,2.9,1.6,2017-12-10,0640,Terra,MODIS,31,6.0NRT,276.2,47.1,N
34.478,-119.472,408.8,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,287.4,1431.3,N
34.48,-119.444,391.8,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,291.8,962.9,N
34.465,-119.44,335.6,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,286.2,165.5,N
34.451,-119.433,335.9,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,286.9,162.5,N
34.437,-119.43,319.6,2.9,1.6,2017-12-10,0640,Terra,MODIS,27,6.0NRT,285.3,70.2,N
34.439,-119.398,385.2,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,292.3,813.3,N
34.441,-119.365,353.1,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,290.2,318.4,N
34.443,-119.33,323,2.9,1.6,2017-12-10,0640,Terra,MODIS,80,6.0NRT,284.8,97.6,N
34.446,-119.297,321.9,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,276.1,99.7,N
34.422,-119.427,308.5,2.9,1.6,2017-12-10,0640,Terra,MODIS,10,6.0NRT,286.5,37,N
34.425,-119.393,426.9,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,308.2,2142.6,N
34.427,-119.36,434.6,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,313.7,2517,N
34.429,-119.327,319.7,2.9,1.6,2017-12-10,0640,Terra,MODIS,90,6.0NRT,280.5,85.4,N
34.423,-119.387,435.6,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,313.4,2542.4,N
34.426,-119.354,417.6,2.9,1.6,2017-12-10,0640,Terra,MODIS,100,6.0NRT,305.2,1778,N
34.428,-119.321,311.5,2.9,1.6,2017-12-10,0640,Terra,MODIS,56,6.0NRT,278.5,56,N
34.206,-119.134,328.7,1.1,1,2017-02-23,1855,Terra,MODIS,86,6.0NRT,294.4,29.1,D
35.224,-118.862,326.5,1.2,1.1,2017-02-12,2050,Aqua,MODIS,84,6.0NRT,291.9,28.9,D
35.222,-118.87,310.3,1.2,1.1,2017-02-12,2050,Aqua,MODIS,68,6.0NRT,292,9.6,D
35.224,-118.857,323.1,1.2,1.1,2017-02-12,2050,Aqua,MODIS,82,6.0NRT,292,24.9,D
35.223,-118.851,303,1.9,1.4,2017-02-12,1915,Terra,MODIS,54,6.0NRT,289.3,10.5,D
34.953,-119.473,345.3,1.1,1,2017-07-18,2115,Aqua,MODIS,87,6.0NRT,324.5,26.6,D
34.955,-119.461,340.4,1.1,1,2017-07-18,2115,Aqua,MODIS,81,6.0NRT,325.1,16.8,D
34.938,-119.463,335.5,4.4,1.9,2017-07-18,1940,Terra,MODIS,87,6.0NRT,311.2,188.8,D
34.955,-119.458,345.7,4.4,1.9,2017-07-18,1940,Terra,MODIS,93,6.0NRT,311.3,327.8,D
34.941,-119.458,342.3,4.4,1.9,2017-07-18,1940,Terra,MODIS,91,6.0NRT,311.5,275.3,D
34.952,-119.501,324.4,4.3,1.9,2017-07-18,1940,Terra,MODIS,77,6.0NRT,311,56.9,D
34.957,-119.452,340.9,4.4,1.9,2017-07-18,1940,Terra,MODIS,90,6.0NRT,311.2,248.4,D
